Refid,country,continent,st_design,plant?,setting,species,serotype,plant_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Agona,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,Sweden,Europe,Analytical observational,Yes,Feed manufacturing plant,Swine,S. Livingstone,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo",,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3924,Switzerland,Europe,Single group observational,Yes,Feed manufacturing plant,Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Swine,"feed,environment","dry grain,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They also did a quantitative risk assessment. All samples tested were negative for Salmonella.
516,Belgium,Europe,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Agona",,,,,,,Not reported,"feed,environment",Insects,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"They found Agona in the residue (material egested by the larva), not in the larva themselves."
516,Belgium,Europe,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. Agona,"Not specified / any or all combined / Salmonella spp.,Agona",,,,,,,Not reported,"feed,environment",Insects,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"They found Agona in the residue (material egested by the larva), not in the larva themselves."
5126,"Belgium,The Netherlands",Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Not reported,feed,Slaughterhouse sludge,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,"flocculation, aerobic activation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""During slaughtering of animals and subsequent meat processing the process water used becomes polluted with organic matter of animal origin (i.e. protein and fat). This organic sludge is, in principle, a product suitable for animal feeding."""
506,Germany,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Agona,Agona,,,,,,,Not reported,feed,Rapeseed,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapeseed cake/rapeseed meal
9240,Greece,Europe,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,"Senftenberg,Enteritidis",,,,,,,Not reported,feed,"Commercial feed,Soybean meal,Sunflower meal,cottonseed meal,Wheat grain,maize,wheat bran,barley","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The samples collected from farms were not tested for Salmonella. Only the samples collected from feed mills were tested for Salmonella.
9240,Greece,Europe,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. Enteritidis,"Senftenberg,Enteritidis",,,,,,,Not reported,feed,"Commercial feed,Soybean meal,Sunflower meal,cottonseed meal,Wheat grain,maize,wheat bran,barley","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The samples collected from farms were not tested for Salmonella. Only the samples collected from feed mills were tested for Salmonella.
1169,Italy,Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Not reported,feed,"pelleted feed,recycled food products,Mash",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3185,Norway,Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,"Senftenberg,Montevideo,Agona,Typhimurium",,,,,,,Not reported,"feed,environment","Not reported,animal byproducts",Serotype(s) present in food / food environment / food equipment,"Senftenberg,Montevideo,Agona,Typhimurium",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""feed"" and fish meal, plus environmental samples from the factories. I think the serotype information is the only relevant part of the paper. Their biofilm experiments did not mimic the factory environment (i.e. experiments in nutrient broth and on polystyrene"
3185,Norway,Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Montevideo,"Senftenberg,Montevideo,Agona,Typhimurium",,,,,,,Not reported,"feed,environment","Not reported,animal byproducts",Serotype(s) present in food / food environment / food equipment,"Senftenberg,Montevideo,Agona,Typhimurium",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""feed"" and fish meal, plus environmental samples from the factories. I think the serotype information is the only relevant part of the paper. Their biofilm experiments did not mimic the factory environment (i.e. experiments in nutrient broth and on polystyrene"
3185,Norway,Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Agona,"Senftenberg,Montevideo,Agona,Typhimurium",,,,,,,Not reported,"feed,environment","Not reported,animal byproducts",Serotype(s) present in food / food environment / food equipment,"Senftenberg,Montevideo,Agona,Typhimurium",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""feed"" and fish meal, plus environmental samples from the factories. I think the serotype information is the only relevant part of the paper. Their biofilm experiments did not mimic the factory environment (i.e. experiments in nutrient broth and on polystyrene"
3185,Norway,Europe,Single group observational,Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Senftenberg,Montevideo,Agona,Typhimurium",,,,,,,Not reported,"feed,environment","Not reported,animal byproducts",Serotype(s) present in food / food environment / food equipment,"Senftenberg,Montevideo,Agona,Typhimurium",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""feed"" and fish meal, plus environmental samples from the factories. I think the serotype information is the only relevant part of the paper. Their biofilm experiments did not mimic the factory environment (i.e. experiments in nutrient broth and on polystyrene"
503,Portugal,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Portugal,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9108,Serbia,Europe,Analytical observational,Yes,Feed manufacturing plant,Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Not reported,equipment,,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Schwarzengrund,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4191,Spain,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--",,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,Sweden,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,Feed manufacturing plant,Not Reported,S. Senftenberg,Senftenberg,,,,,,,Not reported,"not specified,feed","Not reported,Soybean meal",Molecular characteristics,Senftenberg,Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some of the samples were described as ""scrapings""--not sure if that means feed, equipment or environment, so I put ""not specified"""
