Refid,country,continent,st_design,farm?,setting,species,serotype,farm_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
5181,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. Montevideo,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
5181,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
5181,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
11179,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
12609,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,"animal byproducts,commercial feed, not otherwise specified,rice","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
12609,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,"animal byproducts,commercial feed, not otherwise specified,rice","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
13072,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Albany,Corvallis,Derby,Braenderup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Albany,Corvallis,Derby,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,"""Other"" risk factor was week of production."
13072,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. Derby,"Not specified / any or all combined / Salmonella spp.,Albany,Corvallis,Derby,Braenderup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Albany,Corvallis,Derby,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,"""Other"" risk factor was week of production."
7382,Turkey,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,None of the feed samples was positive.
5954,Iran,Asia,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Sheep,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,poultry litter intended as feed,"Concentration,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,deep-stacking,,,,,,,,,,,,
2844,South Korea,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
2844,South Korea,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Swine,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4539,South Korea,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
9585,Thailand,Asia,Analytical observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,feed characteristics",,,,,,,,,,,,,
123,Viet Nam,Asia,Single group observational,Yes,On-farm (including farmed fish sites),Swine,S. spp,"Not specified / any or all combined / Salmonella spp.,Weltevreden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,pelleted feed,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Weltevreden","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1376,China,Asia,Single group observational,Yes,"Feed manufacturing plant,Animal feed at retail,On-farm (including farmed fish sites)",Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,Not reported,feed,"animal byproducts,Rapeseed,Commercial feed,Feeding yeast,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,Not reported,feed,"animal byproducts,commercial, not otherwise specified,Rapeseed,Soybean meal,Feeding yeast",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,Not reported,feed,"animal byproducts,commercial feed, not otherwise specified,Feeding yeast,Rapeseed,Soybean meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"The authors did not report what types of feed were sampled at which locations (mill, farm, store)"
20129,Japan,Asia,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,On-farm (including farmed fish sites),Not Reported,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,environment,,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,Determining antimicrobial resistance,,,,,,,,,,,,,,,,,
10163,Jordan,Asia,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"corn,alfalfa",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,DNA-based,,,,,,,,,,,,,,
2783,Taiwan,Asia,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Not Reported,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,hatchery waste eggs,"Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,heat treatment,,,,,,,,,,,,
4806,Finland,Europe,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Cattle or Buffalo,S. Infantis,Infantis,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,
18643,United Kingdom,Europe,Single group observational,Yes,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
13493,Finland,Europe,Single group observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,"feed,equipment,environment","Total mixed ration (TMR),Silage","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,eradication procedure,,,,,,,,,,,,
10314,Poland,Europe,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,grass silage,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
3647,United Kingdom,Europe,Analytical observational,Yes,On-farm (including farmed fish sites),Cattle or Buffalo,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,season, climate,farm characteristics,feed characteristics",,,,,,,,,,,,,"Unfortunately none of the data is usable because the risk factor analysis was whether a farm was positive (i.e. whether at least one environmental sample on the farm was positive for Salmonella, but they looked at many different types of environmental samples, not just feed and they did not separate out the farms that had positive feed environmental samples)."
799,Portugal,Europe,Single group observational,Yes,On-farm (including farmed fish sites),Fish,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,Salmonella was not detected in any of the feed samples tested.
56,Great Britain,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. Infantis,Infantis,,,,,,,Broiler chickens,"feed,equipment,environment",Not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Infantis,Durham,4,12:d:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,equipment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,
2913,Great Britain,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus",,,,,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys","feed,equipment,environment","Not reported,pelleted feed,animal byproducts,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Agona,Durham,Give,Typhimurium,I 4,[5],12:i:-,Kedougou,Livingstone,Kottbus,Newport,Kentucky,Agama,Ealing,Ajiobo,Binza,Oslo,Stourbridge,Wagenia","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Laying hens,Turkeys","feed,equipment,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,Looked at feed mill and on-farm
2913,Great Britain,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus",,,,,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys","feed,equipment,environment","Not reported,pelleted feed,animal byproducts,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Agona,Durham,Give,Typhimurium,I 4,[5],12:i:-,Kedougou,Livingstone,Kottbus,Newport,Kentucky,Agama,Ealing,Ajiobo,Binza,Oslo,Stourbridge,Wagenia","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Laying hens,Turkeys","feed,equipment,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,Looked at feed mill and on-farm
2913,Great Britain,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus",,,,,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys","feed,equipment,environment","Not reported,pelleted feed,animal byproducts,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Agona,Durham,Give,Typhimurium,I 4,[5],12:i:-,Kedougou,Livingstone,Kottbus,Newport,Kentucky,Agama,Ealing,Ajiobo,Binza,Oslo,Stourbridge,Wagenia","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Laying hens,Turkeys","feed,equipment,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,Looked at feed mill and on-farm
2913,Great Britain,Europe,Analytical observational,Yes,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus",,,,,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys","feed,equipment,environment","Not reported,pelleted feed,animal byproducts,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Agona,Durham,Give,Typhimurium,I 4,[5],12:i:-,Kedougou,Livingstone,Kottbus,Newport,Kentucky,Agama,Ealing,Ajiobo,Binza,Oslo,Stourbridge,Wagenia","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Laying hens,Turkeys","feed,equipment,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,Looked at feed mill and on-farm
4365,Belgium,Europe,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,Enrichment methods,,,,,,,,,,,,,,
2191,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Poultry,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
4178,Denmark,Europe,Clinical / field trial with natural disease exposure,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,Enteritidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"equipment,environment",,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,farm characteristics,steam and formaldehyde treatment,,,,,,,,,,,,"Unfortunately, results of the intervention experiments can't be used becasue the feed environment samples were combined with other samples. They did report usable prevalence data on naturally contaminated feed environment surfaces before treatment."
4328,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Poultry,S. Typhimurium,"Infantis,Typhimurium,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4328,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,"Infantis,Typhimurium,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4328,Denmark,Europe,"Laboratory study (experimental, something manipulated)",Yes,On-farm (including farmed fish sites),Poultry,S. Infantis,"Infantis,Typhimurium,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4715,France,Europe,Single group observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
2649,Germany,Europe,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,Outcome was detection accuracy (sensitivity and specificity). The spike samples were Enteritidis. The naturally contaminated samples weren't serotyped.
2649,Germany,Europe,Diagnostic test evaluation,Yes,On-farm (including farmed fish sites),Poultry,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Enteritidis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,Outcome was detection accuracy (sensitivity and specificity). The spike samples were Enteritidis. The naturally contaminated samples weren't serotyped.
1888,Great Britain,Europe,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,"Not specified / any or all combined / Salmonella spp.,Newport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,environment,,Results were combined among sample types,"Not specified / any or all combined / Salmonella spp.,Newport","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection; antibiotics,,,,,,,,,,,,
3107,Great Britain,Europe,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,not specified,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,data from surveillance records; feed combined with other
3564,Great Britain,Europe,Analytical observational,Yes,On-farm (including farmed fish sites),Poultry,S. spp,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
