Refid,country,st_design,setting,species,design,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2913,Great Britain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Not reported,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11707,Austria,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13916,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Ethiopia,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics,other",,,,,,,,,,,,,
221,Bangladesh,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,good farming practices project,,,,,,,,,,,,"They did serogrouping, not serotyping. They didn't examine AMR just for the feeds, but lumped all the positive samples from all places together."
243,Australia,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
839,South Korea,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
1093,China,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,equipment",Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Comparison of molecular characterization between sources",,,,,,,,,,,,,,,,,
1168,Argentina,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Stanley,Newport,LIvingstone,Rissen","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,DNA-based",,,,,,,,,,,,,,
1495,Japan,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Schwarzewngrund,Infantis,Manhatten,OUT:d:1,7,OUT:r:1,5,&lsquo;Yovokome&rsquo; (O8:d:1,5)","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources",,,,,,,,,,,,,,,,,
1621,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
1826,Colombia,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,feed characteristics,other",,,,,,,,,,,,,
1888,Great Britain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,environment,,Results were combined among sample types,"Not specified / any or all combined / Salmonella spp.,Newport","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection; antibiotics,,,,,,,,,,,,
1973,"Trinidad and Tobago,Grenada,St. Lucia",Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Uganda","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
2063,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Orion,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,I'm assuming that none of the organic farms had Salmonella in their feed.
2856,Spain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,Risk factor was location from which feed was sampled (truck vs feeder)
2893,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Odds ratios / risk ratios,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
2955,Not reported,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,environment,,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfecting,,,,,,,,,,,,
3087,Brazil,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other farmed poultry,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Javiana,4, 12: i:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
3107,Great Britain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,not specified,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,data from surveillance records; feed combined with other
3325,Hungary,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Infantis,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3564,Great Britain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
3717,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
4300,Great Britain,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified","feed,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,They tested prevalence in the feed troughs directly (cultured it) and they tested for Salmonella in the feed by taking it from the farm and feeding it to birds and then testing them (all of those samples were negative)
4571,Japan,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Infantis,Enteritidis,Thompson,Orion,Corvallis,Derby,LIvingstone,Lexington,Ohio,Cerro,Bareilly,Amersfoort,Georgia,Jerusalem,Adabraka,Suberu,Slade","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
5020,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
5159,Not reported,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens","feed,environment",poultry meal,"Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"depletion, disinfection",,,,,,,,,,,,
5181,Thailand,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
5182,United Kingdom,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Turkeys",equipment,,"Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development or validation of surveillance methods,Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,
9347,Nigeria,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
10452,Malaysia,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Enteritidis,Braenderup","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
11098,Egypt,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,environment,,"Concentration,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"season, climate,farm characteristics",,,,,,,,,,,,,
11179,Thailand,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
11397,India,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics",,,,,,,,,,,,,
11803,USA,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",environment,,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present,Outbreak investigation",,,,,,,,,,,,,,,,,
11895,Brazil,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
12609,Thailand,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,"animal byproducts,commercial feed, not otherwise specified,rice","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
12652,India,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Risk factors for prevalence or concentration of Salmonella",,,,"season, climate",,,,,,,,,,,,,
13072,Thailand,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Albany,Corvallis,Derby,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,"""Other"" risk factor was week of production."
19782,Uganda,Analytical observational,On-farm,Poultry,Analytical observational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
2208,China,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Concentration,Survival time",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,It was a layer-breeder farm.
4178,Denmark,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"equipment,environment",,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,farm characteristics,steam and formaldehyde treatment,,,,,,,,,,,,"Unfortunately, results of the intervention experiments can't be used becasue the feed environment samples were combined with other samples. They did report usable prevalence data on naturally contaminated feed environment surfaces before treatment."
5265,Not reported,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Characterized Culture of Cecal Bacteria,,,,,,,,,,,,
9553,Not reported,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,poultry manure,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,fermentation,,,,,,,,,,,,
10543,India,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
12157,Not reported,Clinical / field trial with natural disease exposure,On-farm,Poultry,Clinical / field trial with natural disease exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,
5729,USA,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",feed,"animal byproducts,calf milk replacer,commercial, not otherwise specified","Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,DNA-based,,"Poultry, not further specified",feed,Soybean meal,"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,DNA-based,,,,,,,,,,,,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
51,Brazil,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Other farmed poultry",feed,Not specified,Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,Development of validation of methods for detection of Salmonella,Naturally infected,,"DNA-based,Enrichment methods",,,,,,,,,,,,,,
532,China,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"Not specified,egg shells","None of the above,Serotype(s) present in food / food environment / food equipment","Pullorum,Typhimurium,Enteritidis,Gallinarum",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,DNA-based,,,,,,,,,,,,,,Reported sensitivity of the diagnostic tests.
2649,Germany,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,Outcome was detection accuracy (sensitivity and specificity). The spike samples were Enteritidis. The naturally contaminated samples weren't serotyped.
3692,United Kingdom,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,Results were combined among sample types,"Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",Naturally infected,,Culture-based,,cleaning and disinfection,,,,,,,,,,,,"Also reports change in percentage of positive samples as an outcome, but no denominators for feed."
3715,Not reported,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Prevalence / proportion positive,None of the above,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,Culture-based,,,,,,,,,,,,,,
4473,Taiwan,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Naturally infected,,DNA-based,,,,,,,,,,,,,,"The feed samples were all negative, so there was nothing to detect."
5308,Canada,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified,Turkeys",feed,"supplement,Not specified,Mash",Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Johannesburg,Anatum,Infantis,Agona,Typhimurium,Hadar,Heidelberg,Give,Derby,Worthington,Brandenburg,Kentucky,Havana,Saintpaul,Rubislaw,Fresno,Urbana,Ohio,Berta,Oranienburg,Newington,Java,Thomasville,Bredeney,Binza,Broughton,Taksony","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,"Culture-based,Other",,,,,,,,,,,,,,False positive rates were also reported.
9088,Iran,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,DNA-based",,,,,,,,,,,,,,
11480,Spain,Diagnostic test evaluation,On-farm,Poultry,Diagnostic test evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"Culture-based,DNA-based",,,,,,,,,,,,,,
2191,Denmark,"Laboratory study (experimental, something manipulated)",On-farm,Poultry,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
4328,Denmark,"Laboratory study (experimental, something manipulated)",On-farm,Poultry,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
18237,Egypt,"Laboratory study (experimental, something manipulated)",On-farm,Poultry,Laboratory study (experimental),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of conditions associated with survival times",,"temperature,feed type",,,,,,,,,,,,,,,
1554,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Anatum,Worthington,Kentucky,Rough","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
2806,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Molecular studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Worthington",Molecular characterization (descriptive),,,,,,,,,,,,,,,,,
