Refid,year,country,continent,setting,outcome,NR_outcomes,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2913,2010,Great Britain,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys","feed,equipment,environment","Not reported,pelleted feed,animal byproducts,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Montevideo,Agona,Durham,Give,Typhimurium,I 4,[5],12:i:-,Kedougou,Livingstone,Kottbus,Newport,Kentucky,Agama,Ealing,Ajiobo,Binza,Oslo,Stourbridge,Wagenia","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Laying hens,Turkeys","feed,equipment,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Tennessee,Infantis,Agona,Typhimurium,Enteritidis,Cubana,Kottbus","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,Looked at feed mill and on-farm
3001,2010,Sweden,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Swine,Not reported",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal,palm kernel mea","Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Typhimurium,Cubana,Oranienburg,Yoruba,Reading,enterica,Du&uml;sseldorf","Development of validation of methods for detection of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,DNA-based",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2010,Sweden,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Swine,feed,"Rapeseed,Soybean meal,corn products,palm kernel mea","Prevalence / proportion positive,Odds ratios / risk ratios,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Anatum,Infantis,Agona,Typhimurium,Rissen,Cubana,Havana,Cerro,Ohio,Adelaide,Livingstone,Muenster,Lexington,Yoruba,Kentucky,Reading,Llandoff,Panama,Gaminare,Morehead,bere,Glowcester,Obogu,Tabligo","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,"plant characteristics,feed characteristics",,heat treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3185,2009,Norway,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,environment","Not reported,animal byproducts",Serotype(s) present in food / food environment / food equipment,"Senftenberg,Montevideo,Agona,Typhimurium",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""feed"" and fish meal, plus environmental samples from the factories. I think the serotype information is the only relevant part of the paper. Their biofilm experiments did not mimic the factory environment (i.e. experiments in nutrient broth and on polystyrene"
3232,2009,Sweden,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Swine,Not reported","feed,equipment","pelleted feed,Soybean meal,palm kernel mea,Wheat grain,rapeseed meal","Concentration,Serotype(s) present in food / food environment / food equipment","Typhimurium,Cubana,Yoruba","Development of validation of methods for detection of Salmonella,Estimating concentration of Salmonella",Deliberately innoculated,"Culture-based,Enrichment methods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3960,2005,Norway,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Fish / shellfish,Not reported","feed,environment","Not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Agona",Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isolates from fish-feed and feed for terrestrial animals were investigated
4191,2003,Spain,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Typhimurium,Rissen,Enteritidis,Derby,Poona,Lexington,Kentucky,Llandoff,California,I 3,10:--:1,6,Tilburg,I 4,12:--:--","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4244,2003,Norway,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Fish / shellfish,feed,Not reported,"Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Montevideo,Agona,Kentucky","Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,disinfectants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The only relevant experiments are the suspension ones because they were the only ones that used feeds (as opposed to Salmonella isolated from feed or feed factories).
4250,2003,Belgium,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Swine,feed,Not reported,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Anatum,Typhimurium,Enteritidis,Derby,Ibadan","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4298,2003,Norway,Europe,Feed Manufacturing Plant,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,Fish / shellfish,"feed,environment","Not reported,corn products,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Tennessee,Montevideo,Anatum,Agona,Worthington,Enteritidis,Livingstone,Kentucky","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fish  / shellfish,feed,"not reported,Fish meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Montevideo,Schwarzewngrund,Anatum,Havana,Berta,cerro,Lille,Lexington,Livingstone,ohio,Stanley,Bere,6,7:b:-","Determining serotypes present,Molecular characterization (descriptive)",,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
4307,2003,Sweden,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,environment","Not reported,animal byproducts,Rapeseed,Soybean meal,maize","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Cubana,Worthington,Enteritidis,Havana,Liverpool,Cerro,Ohio,Livingstone,Muenchen,Bredeney,Oranienburg,Muenster,Aberdeen,Derby,Newport,Ouakam,Virchow,Alachua,Albany,Isangi,London,Ruiru,Saintpaul,Poona,Lexington,Jerusalem,Hadar,Brandenburg,Heidelberg,Kentucky,Java,Meleagridis,Altona,Llandoff,Abony,Kingston,Madelia,bere,Corvallis,Vejle,Gloucester,Oslo,California,Babelsberg,Barteilly,Be,Bergen,Bonariensis,Chincol,Colorado,Dublin,Dusseldorf,Emek,Florida,Freemantle,Freetown,Gatuni,Irachau,Kapemba,Kibi,Kinondoni,Kortrijk,Lamberhurs,Leno,Mandoff,Norwich,Ohlstedt,Saloniki,Sambre,Schleissheim,Schoeneberg,Seegefeld,Slade,Tees,Warragul,Weltevreden,Westhampton,Westphalia",Determining serotypes present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4369,2002,Finland,Europe,Feed Manufacturing Plant,Serovar(s) Present,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,"Molecular characterization (descriptive),Outbreak investigation",,,,,,Samples were taken from feed mills and there was also feed sampled from unspecified places
4806,1999,Finland,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"dry grain,pelleted feed,Rapeseed,Soybean meal","Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Infantis,"Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,
5023,1997,United Kingdom,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Poultry, not further specified,Not reported","feed,equipment","pelleted feed,Mash","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Infantis,Agona,4,12:d:-,Give,Typhimurium,Braenderup,Cubana,Enteritidis,Kedougou,Havana,Cerro,Ohio,Adelaide,Livingstone,Lille,Aberdeen,Newport,Virchow,Alachua,Idikan,Lexington,Indiana,Berta,Brandenburg,Heidelberg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,Meleagridis,goldcoast,Ajiobo,Bergen,Tees,Oranienberg,Coeln,Okatie,Friednau,16:-:-,8,2O:i:-,Newbrunswick","Comparison of serotypes between sources,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,2019,Portugal,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,Not reported,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,2019,Germany,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,Rapeseed,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Agona,Comparison of molecular characterization between sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapeseed cake/rapeseed meal
516,2019,Belgium,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,environment",Insects,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Agona",Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"They found Agona in the residue (material egested by the larva), not in the larva themselves."
5292,1995,The Netherlands,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Broiler chickens,Laying hens,Turkeys",feed,"pelleted feed,Mash,Fish meal,maize,meat meal,tapioca,bone meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Amsterdam,Typhimurium,Rissen,Bareilly,Worthington,Havana,Cerro,Ohio,Livingstone,Lille,Derby,Alachua,Ruiru,Lexington,Hadar,Meleagridis,Adabraka,14;a:2 efnat,8;210;2 efnat,6,7;d:2 efnat,16,7;1.5;2 efnat","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The effect of pelleting temperature on Salmonella in feed was reported. Thus, I selected ""Other"" for risk factors"
5299,1995,Sweden,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,"feed,environment","animal byproducts,vegetable feeds","Molecular characteristics,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Kiambu,Bareilly,Braenderup,Cubana,Worthington,Enteritidis,Havana,Singapore,Ohio,Livingstone,Bredeney,Oranienburg,Schwarzengrund,Muenster,Sal.subsp 1 ser 6,7,Derby,Newport,Ouakam,Isangi,London,Ruiru,Lexington,Jerusalem,Hadar,Molade,Heidelberg,Amager,Kentucky,Bovismorbificans,Meleagridis,Llandoff,Kingston,goldcoast,bere,California,Tilburg,Ibadan,Bergen,Dublin,Dusseldorf,Kapemba,Schleissheim,Westhampton,Albanyl,Azteka,Beitri,Blockley,BO-Group,Brazzavile,Clackamas,CO-group,Donna,EO-Group,Gabon,Georgia,Hillington,Kambok,kunduchi,leopoldville,Mons,Othamarschen,Pomona,Sinstorf,Thomasville,Urbana,Weltswreden,Wil","Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,"Ruminants, not further specified,Swine",feed,"animal byproducts,Milk powder,Protein powder","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Oranienburg,Amager,Ohio,Rissen,Livingstone,Havana,Muenster,Bareilly,Orion,Enteritidis,Heidelberg,London,Westhampton,Thomasville,Schleissheim,Typhimurium,Cubana,Tillburg,Give,Bredeney,Mons,Goldcoast,Brazzaville,CO-group,EO-group,Hillington,othamarschen,Urbana,BO-group,Lexington,Isangi,Sinstorf,Kapemba,Dublin,Blockley,Clackamas,Kambok,Natal,Binza,Oakam,Worthington,Leopoldville,Beitri,Donna,Hato,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella","geographic region,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2020,Great Britain,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Broiler chickens,"feed,equipment,environment",Not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Infantis,Durham,4,12:d:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9121,2001,Greece,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Broiler chickens,Laying hens",feed,"pelleted feed,Fish meal,Soya,meat and bone meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Anatum,Infantis,Orion,Braenderup,Cubana,Livingstone,Saintpaul,Krefeld,Newlands,Blockley,Alamo,Cocvafvils,Tournai,Chao","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240,2004,Greece,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,Not reported,feed,"Commercial feed,Soybean meal,Sunflower meal,cottonseed meal,Wheat grain,maize,wheat bran,barley","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The samples collected from farms were not tested for Salmonella. Only the samples collected from feed mills were tested for Salmonella.
9604,2017,Serbia,Europe,Feed Manufacturing Plant,Serovar(s) Present,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9684,2015,Hungary,Europe,Feed Manufacturing Plant,Serovar(s) Present,,,,,,,,,"Swine,Not reported",feed,eggshell flour,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,drying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889,2010,Norway,Europe,Feed Manufacturing Plant,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,1995,Sweden,Europe,Feed Transportation,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,1995,Sweden,Europe,Feed Transportation,Serovar(s) Present,,,,,,,,,Not reported,"feed,environment","animal byproducts,vegetable feeds","Molecular characteristics,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Kiambu,Bareilly,Braenderup,Cubana,Worthington,Enteritidis,Havana,Singapore,Ohio,Livingstone,Bredeney,Oranienburg,Schwarzengrund,Muenster,Sal.subsp 1 ser 6,7,Derby,Newport,Ouakam,Isangi,London,Ruiru,Lexington,Jerusalem,Hadar,Molade,Heidelberg,Amager,Kentucky,Bovismorbificans,Meleagridis,Llandoff,Kingston,goldcoast,bere,California,Tilburg,Ibadan,Bergen,Dublin,Dusseldorf,Kapemba,Schleissheim,Westhampton,Albanyl,Azteka,Beitri,Blockley,BO-Group,Brazzavile,Clackamas,CO-group,Donna,EO-Group,Gabon,Georgia,Hillington,Kambok,kunduchi,leopoldville,Mons,Othamarschen,Pomona,Sinstorf,Thomasville,Urbana,Weltswreden,Wil","Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,"Ruminants, not further specified,Swine",feed,"animal byproducts,Milk powder,Protein powder","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Oranienburg,Amager,Ohio,Rissen,Livingstone,Havana,Muenster,Bareilly,Orion,Enteritidis,Heidelberg,London,Westhampton,Thomasville,Schleissheim,Typhimurium,Cubana,Tillburg,Give,Bredeney,Mons,Goldcoast,Brazzaville,CO-group,EO-group,Hillington,othamarschen,Urbana,BO-group,Lexington,Isangi,Sinstorf,Kapemba,Dublin,Blockley,Clackamas,Kambok,Natal,Binza,Oakam,Worthington,Leopoldville,Beitri,Donna,Hato,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella","geographic region,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12495,2014,Poland,Europe,Field Used to Grow Animal Feeds,Concentration,,Dairy cattle,Pasture / grass,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",field characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,2015,Germany,Europe,Field Used to Grow Animal Feeds,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,2004,Great Britain,Europe,Field Used to Grow Animal Feeds,Concentration,,Not reported,Animal feces present in the field,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From the Abstract: ""Animal wastes are disposed of by spreading to agricultural land used for the production of crops and livestock grazing."" Re: Q4, this manure was not taken from fields. They were collected and tested prior to when they would have been spread on fields."
7381,2019,Sweden,Europe,Field Used to Grow Animal Feeds,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18643,1997,United Kingdom,Europe,Field Used to Grow Animal Feeds,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,2004,Great Britain,Europe,Field Used to Grow Animal Feeds,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18643,1997,United Kingdom,Europe,Field Used to Grow Animal Feeds,Serovar(s) Present,,"Dairy cattle,Beef cattle",Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
1887,2015,Germany,Europe,Field Used to Grow Animal Feeds,Serovar(s) Present,,Not reported,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Anatum","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,lactic acid fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The paper was about a method to kill Salmonella in manure and sewage sludge that could be used to grow crops for animals. Treatment of soil with sewage sludge or manure.
2189,2013,United Kingdom,Europe,Field Used to Grow Animal Feeds,Serovar(s) Present,,Not reported,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
7381,2019,Sweden,Europe,Field Used to Grow Animal Feeds,Serovar(s) Present,,"Cattle, not further specified",Animal feces present in the field,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Risk factors for prevalence or concentration of Salmonella","season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,2015,Germany,Europe,Field Used to Grow Animal Feeds,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7381,2019,Sweden,Europe,Field Used to Grow Animal Feeds,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,2003,Cyprus,Europe,Field Used to Grow Animal Feeds,Survival Time,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator","Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,
4586,2001,Greece,Europe,On-farm,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,2015,Poland,Europe,On-farm,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"alfalfa silage,alfalfa",Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"ensiling, bacterial inoculants",,,,,,,,,,,,
10314,2016,Poland,Europe,On-farm,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,grass silage,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,
4328,2003,Denmark,Europe,On-farm,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2191,2013,Denmark,Europe,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,2008,Hungary,Europe,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Infantis,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4806,1999,Finland,Europe,On-farm,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2016,Kosovo,Europe,On-farm,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
