Refid,User,Level,year,country,continent,st_design,setting,species,outcome,NR_species,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
2008,"Ellen_Vriezen,Mikalya_Plishka",3,2014,Norway,Europe,Analytical observational,Feed manufacturing plant,Swine,Serotype(s) Present,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported","feed,environment",Soybean meal,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Javiana,Give,Typhimurium,Rissen,Hartford,Bareilly,Braenderup,Cubana,Soerenga,Worthington,Enteritidis,Kedougou,Havana,Cerro,Ohio,Adelaide,Lille,Oranienburg,Schwarzengrund,Muenster,Derby,Kottbus,Newport,Lansing,London,Minnesota,Saintpaul,Poona,Lexington,Indiana,Hadar,Berta,Yoruba,Brandenburg,Heidelberg,Kentucky,Thompson,Bovismorbificans,Meleagridis,Chester,Sandiego,Llandoff,Abony,Arechavaleta,Houtenae 51:a,Lagos,Manhatan,Muencen,Panama,Paratyphie B. Fagt. Dundee,Alabama,Gaminare,Kingston,Pakistan,Carrau,Glostrup,Miami,Redeney,Eschweiler,Madelia,Sundsvall,Abaetetuba,enterica,goldcoast,Morehead,bere,Langeveld,Saphra,dallgow,Corvallis,Benefica,Breda,Ealing,Vejle,Gatow,Maricopa,Regent,Gloucester,Aarhus,Salamae,Winston,Paratyphi B,Diarizonae,1 G.O.:7,Ouakum,Ruiri","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella,Comparison of prevalence between sources",,,,,HACCP program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Ellen_Vriezen,Mikalya_Plishka",3,2014,Norway,Europe,Analytical observational,Feed manufacturing plant,Not Reported,Prevalence,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported","feed,environment",Soybean meal,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Javiana,Give,Typhimurium,Rissen,Hartford,Bareilly,Braenderup,Cubana,Soerenga,Worthington,Enteritidis,Kedougou,Havana,Cerro,Ohio,Adelaide,Lille,Oranienburg,Schwarzengrund,Muenster,Derby,Kottbus,Newport,Lansing,London,Minnesota,Saintpaul,Poona,Lexington,Indiana,Hadar,Berta,Yoruba,Brandenburg,Heidelberg,Kentucky,Thompson,Bovismorbificans,Meleagridis,Chester,Sandiego,Llandoff,Abony,Arechavaleta,Houtenae 51:a,Lagos,Manhatan,Muencen,Panama,Paratyphie B. Fagt. Dundee,Alabama,Gaminare,Kingston,Pakistan,Carrau,Glostrup,Miami,Redeney,Eschweiler,Madelia,Sundsvall,Abaetetuba,enterica,goldcoast,Morehead,bere,Langeveld,Saphra,dallgow,Corvallis,Benefica,Breda,Ealing,Vejle,Gatow,Maricopa,Regent,Gloucester,Aarhus,Salamae,Winston,Paratyphi B,Diarizonae,1 G.O.:7,Ouakum,Ruiri","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella,Comparison of prevalence between sources",,,,,HACCP program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Ellen_Vriezen,Mikalya_Plishka",3,2014,Norway,Europe,Analytical observational,Feed manufacturing plant,Not Reported,Serotype(s) Present,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported","feed,environment",Soybean meal,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Infantis,Agona,Javiana,Give,Typhimurium,Rissen,Hartford,Bareilly,Braenderup,Cubana,Soerenga,Worthington,Enteritidis,Kedougou,Havana,Cerro,Ohio,Adelaide,Lille,Oranienburg,Schwarzengrund,Muenster,Derby,Kottbus,Newport,Lansing,London,Minnesota,Saintpaul,Poona,Lexington,Indiana,Hadar,Berta,Yoruba,Brandenburg,Heidelberg,Kentucky,Thompson,Bovismorbificans,Meleagridis,Chester,Sandiego,Llandoff,Abony,Arechavaleta,Houtenae 51:a,Lagos,Manhatan,Muencen,Panama,Paratyphie B. Fagt. Dundee,Alabama,Gaminare,Kingston,Pakistan,Carrau,Glostrup,Miami,Redeney,Eschweiler,Madelia,Sundsvall,Abaetetuba,enterica,goldcoast,Morehead,bere,Langeveld,Saphra,dallgow,Corvallis,Benefica,Breda,Ealing,Vejle,Gatow,Maricopa,Regent,Gloucester,Aarhus,Salamae,Winston,Paratyphi B,Diarizonae,1 G.O.:7,Ouakum,Ruiri","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella,Comparison of prevalence between sources",,,,,HACCP program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,"SarahTotton,Mikalya_Plishka",3,2014,Brazil,South America,Challenge trial in natural setting (not lab),Field used to grow animal feeds,Cattle or Buffalo,Concentration,,"Cattle, not further specified,Goats","Crop in field,Irrigation water","Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,"SarahTotton,Mikalya_Plishka",3,2014,Brazil,South America,Challenge trial in natural setting (not lab),Field used to grow animal feeds,Goats,Concentration,,"Cattle, not further specified,Goats","Crop in field,Irrigation water","Concentration,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Estimating concentration of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Swine,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Agona,Typhimurium,Heidelberg,Derby,Worthington,London,Inverness","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,"Table 1 is tricky to extract serotypes and they list feed at the top but this only refers to the level of Cu or Zn in the feed, not necessarily that the serotype listed was found in the feed. You have to refer to the 3rd column from the left for that."
2055,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Swine,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Agona,Typhimurium,Heidelberg,Derby,Worthington,London,Inverness","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,"Table 1 is tricky to extract serotypes and they list feed at the top but this only refers to the level of Cu or Zn in the feed, not necessarily that the serotype listed was found in the feed. You have to refer to the 3rd column from the left for that."
2055,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Swine,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Mbandaka,Agona,Typhimurium,Heidelberg,Derby,Worthington,London,Inverness","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,"Table 1 is tricky to extract serotypes and they list feed at the top but this only refers to the level of Cu or Zn in the feed, not necessarily that the serotype listed was found in the feed. You have to refer to the 3rd column from the left for that."
2063,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Analytical observational,On-farm (including farmed fish sites),Poultry,Antimicrobial Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Orion,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,I'm assuming that none of the organic farms had Salmonella in their feed.
2063,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Analytical observational,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Orion,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,I'm assuming that none of the organic farms had Salmonella in their feed.
2063,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Analytical observational,On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Orion,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,I'm assuming that none of the organic farms had Salmonella in their feed.
2080,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Single group observational,Not specified,Poultry,Prevalence,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,Single group observational,Not specified,Poultry,Serotype(s) Present,"Poultry, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Meleagridis,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"For Q4, the answer should be ""Other: Agricultural Fair"""
2093,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,"Laboratory study (experimental, something manipulated)",Animal feed at retail,Poultry,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,"commercial, not otherwise specified","Concentration,Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Infantis,Typhimurium,Enteritidis,Heidelberg,Newport,Kentucky,Javiana,Bairley","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,
2093,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,"Laboratory study (experimental, something manipulated)",Animal feed at retail,Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,"commercial, not otherwise specified","Concentration,Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Infantis,Typhimurium,Enteritidis,Heidelberg,Newport,Kentucky,Javiana,Bairley","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,
2093,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,"Laboratory study (experimental, something manipulated)",Animal feed at retail,Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,"commercial, not otherwise specified","Concentration,Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Infantis,Typhimurium,Enteritidis,Heidelberg,Newport,Kentucky,Javiana,Bairley","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,The feed came from a store. The Salmonella that was used to spike it came from farms and laboratories.
2093,"SarahTotton,Mikalya_Plishka",3,2014,USA,North America,"Laboratory study (experimental, something manipulated)",Animal feed at retail,Poultry,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,"commercial, not otherwise specified","Concentration,Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Montevideo,Infantis,Typhimurium,Enteritidis,Heidelberg,Newport,Kentucky,Javiana,Bairley","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,,,,,,,,,,
2131,"SarahTotton,Mikalya_Plishka",3,2014,Iran,Asia,Single group observational,On-farm (including farmed fish sites),Cattle or Buffalo,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,"Not specified,milk (fed to calves)",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,They sampled milk fed to the calves and adult dairy cattle feed (type not specified)
2139,"SarahTotton,Mikalya_Plishka",3,2014,Sweden,Europe,Diagnostic test evaluation,Animal feed at retail,Not Reported,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Soybean meal,"Prevalence / proportion positive,Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Cubana","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,DNA-based,Other",,,,,,,,,,,,,,,,,,,,,,,,
2139,"SarahTotton,Mikalya_Plishka",3,2014,Sweden,Europe,Diagnostic test evaluation,Animal feed at retail,Not Reported,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Soybean meal,"Prevalence / proportion positive,Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Cubana","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,DNA-based,Other",,,,,,,,,,,,,,,,,,,,,,,,
2139,"SarahTotton,Mikalya_Plishka",3,2014,Sweden,Europe,Diagnostic test evaluation,Animal feed at retail,Not Reported,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Soybean meal,"Prevalence / proportion positive,Concentration,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Cubana","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Estimating concentration of Salmonella",Both natural and innoculated evaluated,"Culture-based,DNA-based,Other",,,,,,,,,,,,,,,,,,,,,,,,"Cubana was the serotype artificially inoculated into the feed. For the naturally contaminated samples, authors did not report serotypes found."
2161,"SarahTotton,Ellen_Vriezen",3,2014,Not reported,Not Reported,"Laboratory study (experimental, something manipulated)",Not specified,Not Reported,Concentration,Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,Fish meal,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,UV-C Radiation,Samples tested for Salmonella before inoculation were negative for Salmonella.
2173,"SarahTotton,Ellen_Vriezen",3,2013,Spain,Europe,"Laboratory study (experimental, something manipulated)",Not specified,Cattle or Buffalo,Survival Time,"Cattle, not further specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified",feed,"pelleted feed,Commercial feed",Survival time,Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,Organic Acids and Temperature,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Cattle or Buffalo,Prevalence,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Cattle or Buffalo,Serotype(s) Present,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Swine,Prevalence,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Swine,Serotype(s) Present,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Not Reported,Prevalence,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Not Reported,Serotype(s) Present,,,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,
2191,"SarahTotton,Mikalya_Plishka",3,2013,Denmark,Europe,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Poultry,Molecular Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
2191,"SarahTotton,Mikalya_Plishka",3,2013,Denmark,Europe,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Poultry,Serotype(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
2191,"SarahTotton,Mikalya_Plishka",3,2013,Denmark,Europe,"Laboratory study (experimental, something manipulated)",On-farm (including farmed fish sites),Poultry,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
2208,"SarahTotton,Ellen_Vriezen",3,2013,China,Asia,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Poultry,Concentration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Concentration,Survival time",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,It was a layer-breeder farm.
2208,"SarahTotton,Ellen_Vriezen",3,2013,China,Asia,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Concentration,Survival time",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,It was a layer-breeder farm.
2208,"SarahTotton,Ellen_Vriezen",3,2013,China,Asia,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),Poultry,Survival Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Concentration,Survival time",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,slightly acidic electrolyzed water,,,,,,,,,,,,It was a layer-breeder farm.
