Refid,User,Level,year,country,continent,st_design,setting,setting1,species,sources,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments,,NR_interv,Comments
56,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Great Britain,Europe,Analytical observational,Feed Manufacturing Plant,"Feed manufacturing plant,On-farm (including farmed fish sites)",Poultry,,,,,,,,,Broiler chickens,"feed,equipment,environment",Not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Mbandaka,Infantis,Durham,4,12:d:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,equipment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,,,,
9108,"SarahTotton,Ellen_Vriezen",3,2017,Serbia,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,Not reported,equipment,,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9109,"SarahTotton,Ellen_Vriezen",3,2010,Serbia,Europe,Single group observational,Feed Manufacturing Plant,Feed manufacturing plant,Swine,,,,,,,,,Swine,feed,pelleted feed,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All samples were negative for Salmonella. I'm not sure if they gave the denominator (maybe it's in the brackets in the right-hand column of the table, but if so, it isn't clear.",,,
9121,"SarahTotton,Mikalya_Plishka",3,2001,Greece,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Broiler chickens,Laying hens",feed,"pelleted feed,Fish meal,Soya,meat and bone meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Anatum,Infantis,Orion,Braenderup,Cubana,Livingstone,Saintpaul,Krefeld,Newlands,Blockley,Alamo,Cocvafvils,Tournai,Chao","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240,"SarahTotton,Mikalya_Plishka",3,2004,Greece,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,Not reported,feed,"Commercial feed,Soybean meal,Sunflower meal,cottonseed meal,Wheat grain,maize,wheat bran,barley","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,feed characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The samples collected from farms were not tested for Salmonella. Only the samples collected from feed mills were tested for Salmonella.,,,
9526,Ellen_Vriezen,3,2017,The Netherlands,Europe,Clinical / field trial with natural disease exposure,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Laying hens,Chickens, not further specified","feed,equipment","Not reported,Wheat grain",Results were combined among sample types,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"formaldehyde, organic acid supplements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reports enterobacteriaceae levels (counts) only,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Feed Manufacturing Plant,"Feed manufacturing plant,Not specified",Cattle,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Feed Manufacturing Plant,"Feed manufacturing plant,Not specified",Poultry,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Feed Manufacturing Plant,"Feed manufacturing plant,Not specified",Swine,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,
9684,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Hungary,Europe,Laboratory study (experimental),Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,"Swine,Not reported",feed,eggshell flour,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,drying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9684,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Hungary,Europe,Laboratory study (experimental),Feed Manufacturing Plant,Feed manufacturing plant,Swine,,,,,,,,,"Swine,Not reported",feed,eggshell flour,"Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,drying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,"SarahTotton,Ellen_Vriezen",3,2004,United Kingdom,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Cattle,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"Mash,extruded,meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In the fish feed factories, environmental and feed samples were taken. In addition ""domestic and imported fish feed ingredients"" (source not reported) were included in this study."
9943,"SarahTotton,Ellen_Vriezen",3,2004,United Kingdom,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Not Reported,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"Mash,extruded,meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jan decided at Level 2 that Table 3 reports primary research data (the rest of the paper does not). The ""Other"" risk factor is Time (year).",,,
9943,"SarahTotton,Ellen_Vriezen",3,2004,United Kingdom,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Poultry,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"Mash,extruded,meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9943,"SarahTotton,Ellen_Vriezen",3,2004,United Kingdom,Europe,Analytical observational,Feed Manufacturing Plant,Feed manufacturing plant,Swine,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Not reported",feed,"Mash,extruded,meal",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,"feed characteristics,other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12169,"SarahTotton,Ellen_Vriezen,Mikalya_Plishka",3,2018,Norway,Europe,Single group observational,Feed Transportation,Feed transportation (e.g. feed trucks),Fish,,,,,,,,,,,,,,,,,,,,Fish / shellfish,feed,fish meal,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All samples were negative for Salmonella.,,,
5299,"jan.sargeant,SarahTotton",3,1995,Sweden,Europe,Single group observational,Feed Transportation,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Ruminants (Other),,,,,,,,,Not reported,"feed,environment","animal byproducts,vegetable feeds","Molecular characteristics,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Kiambu,Bareilly,Braenderup,Cubana,Worthington,Enteritidis,Havana,Singapore,Ohio,Livingstone,Bredeney,Oranienburg,Schwarzengrund,Muenster,Sal.subsp 1 ser 6,7,Derby,Newport,Ouakam,Isangi,London,Ruiru,Lexington,Jerusalem,Hadar,Molade,Heidelberg,Amager,Kentucky,Bovismorbificans,Meleagridis,Llandoff,Kingston,goldcoast,bere,California,Tilburg,Ibadan,Bergen,Dublin,Dusseldorf,Kapemba,Schleissheim,Westhampton,Albanyl,Azteka,Beitri,Blockley,BO-Group,Brazzavile,Clackamas,CO-group,Donna,EO-Group,Gabon,Georgia,Hillington,Kambok,kunduchi,leopoldville,Mons,Othamarschen,Pomona,Sinstorf,Thomasville,Urbana,Weltswreden,Wil","Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,"Ruminants, not further specified,Swine",feed,"animal byproducts,Milk powder,Protein powder","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Oranienburg,Amager,Ohio,Rissen,Livingstone,Havana,Muenster,Bareilly,Orion,Enteritidis,Heidelberg,London,Westhampton,Thomasville,Schleissheim,Typhimurium,Cubana,Tillburg,Give,Bredeney,Mons,Goldcoast,Brazzaville,CO-group,EO-group,Hillington,othamarschen,Urbana,BO-group,Lexington,Isangi,Sinstorf,Kapemba,Dublin,Blockley,Clackamas,Kambok,Natal,Binza,Oakam,Worthington,Leopoldville,Beitri,Donna,Hato,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella","geographic region,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5299,"jan.sargeant,SarahTotton",3,1995,Sweden,Europe,Single group observational,Feed Transportation,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Swine,,,,,,,,,Not reported,"feed,environment","animal byproducts,vegetable feeds","Molecular characteristics,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Agona,Amsterdam,Give,Orion,Typhimurium,Rissen,Kiambu,Bareilly,Braenderup,Cubana,Worthington,Enteritidis,Havana,Singapore,Ohio,Livingstone,Bredeney,Oranienburg,Schwarzengrund,Muenster,Sal.subsp 1 ser 6,7,Derby,Newport,Ouakam,Isangi,London,Ruiru,Lexington,Jerusalem,Hadar,Molade,Heidelberg,Amager,Kentucky,Bovismorbificans,Meleagridis,Llandoff,Kingston,goldcoast,bere,California,Tilburg,Ibadan,Bergen,Dublin,Dusseldorf,Kapemba,Schleissheim,Westhampton,Albanyl,Azteka,Beitri,Blockley,BO-Group,Brazzavile,Clackamas,CO-group,Donna,EO-Group,Gabon,Georgia,Hillington,Kambok,kunduchi,leopoldville,Mons,Othamarschen,Pomona,Sinstorf,Thomasville,Urbana,Weltswreden,Wil","Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,"Ruminants, not further specified,Swine",feed,"animal byproducts,Milk powder,Protein powder","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Tennessee,Montevideo,Schwarzewngrund,Anatum,Infantis,Oranienburg,Amager,Ohio,Rissen,Livingstone,Havana,Muenster,Bareilly,Orion,Enteritidis,Heidelberg,London,Westhampton,Thomasville,Schleissheim,Typhimurium,Cubana,Tillburg,Give,Bredeney,Mons,Goldcoast,Brazzaville,CO-group,EO-group,Hillington,othamarschen,Urbana,BO-group,Lexington,Isangi,Sinstorf,Kapemba,Dublin,Blockley,Clackamas,Kambok,Natal,Binza,Oakam,Worthington,Leopoldville,Beitri,Donna,Hato,Braenderup","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources,Risk factors for prevalence or concentration of Salmonella","geographic region,feed characteristics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12495,"Ellen_Vriezen,Mikalya_Plishka",3,2014,Poland,Europe,Analytical observational,Field Used to Grow Animal Feeds,Field used to grow animal feeds,Cattle,,Dairy cattle,Pasture / grass,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",field characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18643,"SarahTotton,Ellen_Vriezen",3,1997,United Kingdom,Europe,Single group observational,Field Used to Grow Animal Feeds,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Cattle,,"Dairy cattle,Beef cattle",Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,
1887,SarahTotton,3,2015,Germany,Europe,Laboratory study (experimental),Field Used to Grow Animal Feeds,Field used to grow animal feeds,Not Reported,,Not reported,Not specified,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Anatum","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,lactic acid fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The paper was about a method to kill Salmonella in manure and sewage sludge that could be used to grow crops for animals. Treatment of soil with sewage sludge or manure.,,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,Field Used to Grow Animal Feeds,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Not Reported,,Not reported,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,"I know we're not supposed to extract Determining serotypes present for an outbreak, but in this study, they found serotypes that weren't the cause of the outbreak, so I extracted them."
4180,"SarahTotton,Mikalya_Plishka",3,2004,Great Britain,Europe,Single group observational,Field Used to Grow Animal Feeds,Field used to grow animal feeds,Not Reported,,Not reported,Animal feces present in the field,"Prevalence / proportion positive,Concentration",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating concentration of Salmonella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"From the Abstract: ""Animal wastes are disposed of by spreading to agricultural land used for the production of crops and livestock grazing."" Re: Q4, this manure was not taken from fields. They were collected and tested prior to when they would have been spread on fields.",,,
7381,"SarahTotton,Mikalya_Plishka",3,2019,Sweden,Europe,Challenge trial in natural setting,Field Used to Grow Animal Feeds,Field used to grow animal feeds,Cattle,,"Cattle, not further specified",Animal feces present in the field,"Concentration,Survival time,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating concentration of Salmonella,Estimating survival time of Salmonella,Risk factors for prevalence or concentration of Salmonella","season, climate or weather",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813,"SarahTotton,Mikalya_Plishka",3,2003,Cyprus,Europe,Challenge trial in natural setting,Field Used to Grow Animal Feeds,"Field used to grow animal feeds,Not specified",Ruminants (Other),,"Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,,,,
9813,"SarahTotton,Mikalya_Plishka",3,2003,Cyprus,Europe,Challenge trial in natural setting,Field Used to Grow Animal Feeds,"Field used to grow animal feeds,Not specified",Sheep,,"Sheep,Ruminants, not further specified",Crop in field,"Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,borehole water vs treated sewage effluent and first cutting vs second cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheep,feed,"wheat,corn","Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,ensiling,,,,
10108,"SarahTotton,Ellen_Vriezen",3,2015,Poland,Europe,Clinical / field trial with natural disease exposure,On-farm,On-farm (including farmed fish sites),Not Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"alfalfa silage,alfalfa",Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"ensiling, bacterial inoculants",,,,,,,,,,,,,,,
10314,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Poland,Europe,Analytical observational,On-farm,On-farm (including farmed fish sites),Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,feed,grass silage,Concentration,Not specified / any or all combined / Salmonella spp.,"Estimating concentration of Salmonella,Risk factors for prevalence or concentration of Salmonella",,,,"farm characteristics,other",,,,,,,,,,,,,,,,
11474,"Ellen_Vriezen,Mikalya_Plishka",3,2017,Germany,Europe,Molecular studies,On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,feed,Not specified,No results presented,Not specified / any or all combined / Salmonella spp.,,,,,,,,,,,,,,,,,,,,,
11480,"SarahTotton,Ellen_Vriezen",3,2012,Spain,Europe,Diagnostic test evaluation,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Deliberately innoculated,,"Culture-based,DNA-based",,,,,,,,,,,,,,,,,
11707,"SarahTotton,Ellen_Vriezen",3,2012,Austria,Europe,Analytical observational,On-farm,"Feed manufacturing plant,On-farm (including farmed fish sites),Not specified",Poultry,,,,,,,,,"Laying hens,Poultry, not further specified",feed,"Not reported,Commercial feed,Soybean meal","Prevalence / proportion positive,Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Mbandaka,"Estimating prevalence of Salmonella,Molecular characterization (descriptive),Outbreak investigation",,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,"commercial feed, not otherwise specified,compound feed","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Agona,Outbreak investigation,,,,,,Laying hens,feed,"Commercial feed,soybean meal","Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Agona,Outbreak investigation,,,,,,,,,All samples from the feed mills were negative.
13493,"SarahTotton,Mikalya_Plishka",3,2007,Finland,Europe,Single group observational,On-farm,On-farm (including farmed fish sites),Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dairy cattle,"feed,equipment,environment","Total mixed ration (TMR),Silage","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,eradication procedure,,,,,,,,,,,,,,,
1611,"Ellen_Vriezen,Mikalya_Plishka",3,2016,Kosovo,Europe,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,,,,
17143,"SarahTotton,Ellen_Vriezen",3,1997,Great Britain,Europe,Single group observational,On-farm,On-farm (including farmed fish sites),Swine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swine,"feed,equipment",Not specified,"Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,
18643,"SarahTotton,Ellen_Vriezen",3,1997,United Kingdom,Europe,Single group observational,On-farm,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Cattle,,"Dairy cattle,Beef cattle",Crop in field,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","derby,rissen,durham,newport,stanley,Typhimurium DT104","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dairy cattle,Beef cattle","feed,equipment",dry grain,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,,,,
1888,"Ellen_Vriezen,Mikalya_Plishka",3,2015,Great Britain,Europe,Analytical observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,environment,,Results were combined among sample types,"Not specified / any or all combined / Salmonella spp.,Newport","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection; antibiotics,,,,,,,,,,,,,,,
2128,"SarahTotton,Mikalya_Plishka",3,2014,Spain,Europe,Single group observational,On-farm,On-farm (including farmed fish sites),Poultry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,"feed,environment",Not specified,"Results were combined among sample types,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator",Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,"No Salmonella found in feed prior to the study. Different detection methods were compared to detect airborne Salmonella, not Salmonella on surfaces or in feed.",,,
2189,"SarahTotton,Mikalya_Plishka",3,2013,United Kingdom,Europe,Analytical observational,On-farm,"Field used to grow animal feeds,Feed manufacturing plant,On-farm (including farmed fish sites)",Cattle,,Not reported,"Crop in field,Broiler litter intended for spreading on field","Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Mbandaka,Montevideo,Kedougou","Estimating prevalence of Salmonella,Determining serotypes present",,,Not reported,"feed,environment",dry grain,Prevalence / proportion positive,"Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Give,Typhimurium,Cubana,Worthington,Kedougou,Havana,Oranienburg,Schwarzengrund,Aberdeen,Derby,Newport,Virchow,Brandenburg,Kentucky,Agama,Drypool,Java,Taksony,Thompson,13,23:z37:-,Bovismorbificans","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine","feed,equipment,environment",dry grain,Prevalence / proportion positive,"Mbandaka,Typhimurium,Albany,Panama,Derby,Virchow,Brandenburg,Kentucky,LIvingstone,Rissen,Durham,Ohio,Bovismorbificans,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of prevalence between sources",,,,,,,,,,,,,,,,,,,,
