Refid,country,st_design,setting,species,outcome,plant_species,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
5419,India,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6670,The Netherlands,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7382,Turkey,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,None of the feed samples was positive.
9088,Iran,Diagnostic test evaluation,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9420,Bangladesh,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9940,Saudi Arabia,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types",Not specified / any or all combined / Salmonella spp.,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
10452,Malaysia,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10543,India,Clinical / field trial with natural disease exposure,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
11397,India,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11470,Egypt,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11685,India,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11895,Brazil,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12609,Thailand,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12652,India,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12891,USA,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12961,China,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13072,Thailand,Analytical observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14042,Ethiopia,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"commercial feed, not otherwise specified",Prevalence / proportion positive,Not specified / any or all combined / Salmonella spp.,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
14917,Nigeria,Single group observational,On-farm,Poultry,Prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5729,USA,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",feed,"animal byproducts,calf milk replacer,commercial, not otherwise specified","Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,DNA-based,,"Poultry, not further specified",feed,Soybean meal,"Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Development of validation of methods for detection of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",Naturally infected,,DNA-based,,,,,,,,,,,,,,Not sure how to interpret the results regarding Salmonella as they are only given in figures.
9143,Nigeria,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Great Britain,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2913,Great Britain,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,Not reported,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4315,Australia,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762,Saudi Arabia,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001,Not reported,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11707,Austria,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4371,USA,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,USA,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",equipment,,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,1,4,[5],12:i:-","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
199,Bangladesh,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
354,New Zealand,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Thompson,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"They did risk analysis, but they could not have done it with feed as an outcome as only farm had Salmonella-positive feed."
456,Brazil,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Incidence,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,enterica O:4,5:-:1,2","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
532,China,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,"Not specified,egg shells","None of the above,Serotype(s) present in food / food environment / food equipment","Pullorum,Typhimurium,Enteritidis,Gallinarum",Development of validation of methods for detection of Salmonella,Deliberately innoculated,,DNA-based,,,,,,,,,,,,,,Reported sensitivity of the diagnostic tests.
572,Ecuador,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Infantis,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,I had to check the supplemental data to see which serotypes were found in the feed samples.
1168,Argentina,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Montevideo,Schwarzewngrund,Infantis,Enteritidis,Stanley,Newport,LIvingstone,Rissen","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,DNA-based",,,,,,,,,,,,,,
1362,Nigeria,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Kentucky","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
1495,Japan,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Schwarzewngrund,Infantis,Manhatten,OUT:d:1,7,OUT:r:1,5,&lsquo;Yovokome&rsquo; (O8:d:1,5)","Estimating prevalence of Salmonella,Determining serotypes present,Comparison of serotypes between sources",,,,,,,,,,,,,,,,,
1554,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Senftenberg,Anatum,Worthington,Kentucky,Rough","Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1611,Kosovo,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,other,,,,,,,,,,,,,
1647,Ghana,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens",feed,Not specified,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Muenster,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
1973,"Trinidad and Tobago,Grenada,St. Lucia",Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Anatum,Uganda","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
2063,USA,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment",Orion,"Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,I'm assuming that none of the organic farms had Salmonella in their feed.
2191,Denmark,"Laboratory study (experimental, something manipulated)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,pelleted feed,"Survival time,Molecular characteristics,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating survival time of Salmonella,Molecular characterization (descriptive),Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,The Salmonella used in this experiment originated from broiler-breeder farms.
2649,Germany,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,,,,,,,,,,,,Outcome was detection accuracy (sensitivity and specificity). The spike samples were Enteritidis. The naturally contaminated samples weren't serotyped.
2806,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Worthington",Molecular characterization (descriptive),,,,,,,,,,,,,,,,,
3087,Brazil,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other farmed poultry,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Javiana,4, 12: i:-","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
3351,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg",Molecular characterization (descriptive),,,,,,,,,,,,,,,,,"We don't know what other serotypes they found, but they did say the feed had Senftenberg."
3400,Not reported,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,"feed,environment",Not specified,"Molecular characteristics,Antimicrobial resistance,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Senftenberg,Worthington","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Comparison of serotypes between sources",,,,,,,,,,,,,,,,,
3631,State of Kuwait,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
3715,Not reported,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,environment,,"Prevalence / proportion positive,None of the above,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella",Naturally infected,,Culture-based,,,,,,,,,,,,,,
4144,USA,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,"feed,equipment,environment",Not specified,"Molecular characteristics,Antimicrobial resistance,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Worthington","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4178,Denmark,Clinical / field trial with natural disease exposure,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"equipment,environment",,"Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Risk factors for prevalence or concentration of Salmonella,Evaluation of interventions to reduce Salmonella",,,,farm characteristics,steam and formaldehyde treatment,,,,,,,,,,,,"Unfortunately, results of the intervention experiments can't be used becasue the feed environment samples were combined with other samples. They did report usable prevalence data on naturally contaminated feed environment surfaces before treatment."
4274,Not reported,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Worthington,Muenster","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,"I'm assuming ""feeder contents"" also constitutes feed, rather than feed environment."
4300,Great Britain,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified","feed,environment",Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,They tested prevalence in the feed troughs directly (cultured it) and they tested for Salmonella in the feed by taking it from the farm and feeding it to birds and then testing them (all of those samples were negative)
4328,Denmark,"Laboratory study (experimental, something manipulated)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,pelleted feed,"Concentration,Survival time,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Infantis,Typhimurium,Enteritidis","Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,temperature,,,,,,,,,,,,
4395,Kenya,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Soya feed supplements,"Molecular characteristics,Results were combined among sample types,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis,Braenderup","Determining antimicrobial resistance,Determining serotypes present,Molecular characterization (descriptive),Evaluation of linkage to illness in humans",,,,,,,,,,,,,,,,,
4473,Taiwan,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poultry, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis",Development of validation of methods for detection of Salmonella,Naturally infected,,DNA-based,,,,,,,,,,,,,,"The feed samples were all negative, so there was nothing to detect."
4571,Japan,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Infantis,Enteritidis,Thompson,Orion,Corvallis,Derby,LIvingstone,Lexington,Ohio,Cerro,Bareilly,Amersfoort,Georgia,Jerusalem,Adabraka,Suberu,Slade","Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
4862,USA,"Molecular studies (e.g. categorization from isolate banks, AMR etc)",On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Kentucky,Simsbury","Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
5104,Not reported,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkeys,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Typhimurium,Heidelberg,Worthington,Newport,Copenhagen,Reading,Bredeney","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
5159,Not reported,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens","feed,environment",poultry meal,"Prevalence / proportion positive,Concentration,Survival time,Serotype(s) present in food / food environment / food equipment","Senftenberg,Mbandaka,Typhimurium,Enteritidis","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,"depletion, disinfection",,,,,,,,,,,,
5181,Thailand,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Montevideo,Anatum,Agona,Weltevreden,Enteritidis,Hadar,Heidelberg,Thompson,Orion,Albany,Emek,Virchow,Stanley,Havana,Isangi,Poona,Urbana,Rough,Cerro,Bredeney,Blockley,paratyphi B biovar Java,Amsterdam,Eastbourne","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
5182,United Kingdom,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broiler chickens,Laying hens,Turkeys",equipment,,"Prevalence / proportion positive,Survival time,Serotype(s) present in food / food environment / food equipment",Enteritidis,"Development or validation of surveillance methods,Estimating prevalence of Salmonella,Estimating survival time of Salmonella,Evaluation of interventions to reduce Salmonella",,,,,cleaning and disinfection,,,,,,,,,,,,
5419,India,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Typhimurium,Kottbus,S. II","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present",,,,,,,,,,,,,,,,,
6670,The Netherlands,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Infantis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
9088,Iran,Diagnostic test evaluation,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Enteritidis","Development of validation of methods for detection of Salmonella,Estimating prevalence of Salmonella,Determining serotypes present",Naturally infected,,"Culture-based,DNA-based",,,,,,,,,,,,,,
10039,India,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,"fishmeal,compound feed","Molecular characteristics,Reported &ldquo;Salmonella present&rdquo; (or +) without a denominator,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Estimating prevalence of Salmonella,Determining serotypes present,Molecular characterization (descriptive)",,,,,,,,,,,,,,,,,
10452,Malaysia,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Enteritidis,Braenderup","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
11397,India,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chickens, not further specified",feed,Not specified,"Prevalence / proportion positive,Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Enteritidis","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,"geographic region,farm characteristics",,,,,,,,,,,,,
11470,Egypt,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broiler chickens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Takoradi,"Estimating prevalence of Salmonella,Determining serotypes present",,,,,,,,,,,,,,,,,
11685,India,Single group observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,feed,Not specified,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment",Typhimurium,Estimating prevalence of Salmonella,,,,,,,,,,,,,,,,,
11895,Brazil,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laying hens,"feed,environment",Not specified,"Prevalence / proportion positive,Reported &ldquo;Salmonella absent&rdquo; (or -) without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg","Estimating prevalence of Salmonella,Estimating concentration of Salmonella,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
12609,Thailand,Analytical observational,On-farm,Poultry,Serovar(s) Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic ducks,feed,"animal byproducts,commercial feed, not otherwise specified,rice","Prevalence / proportion positive,Results were combined among sample types,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Mbandaka,Stanley,Javiana,Hvittingfoss","Estimating prevalence of Salmonella,Determining antimicrobial resistance,Determining serotypes present,Risk factors for prevalence or concentration of Salmonella",,,,farm characteristics,,,,,,,,,,,,,
