Refid,User,Level,year,country,continent,st_design,NR?,setting,species,serotype,NR_serotype,field_sources,field_outcomes,field_serotype,field_purpose,field_risk,field_interv,plant_species,plant_sources,plant_feedstuff,plant_outcomes,plant_serotype,plant_purpose,plant_innoc,plant_lab,plant_risk,plant_surv,plant_interv,trans_species,trans_sources,trans_feedstuff,trans_outcomes,trans_serotype,trans_purpose,trans_risk,retail_species,retail_sources,retail_feedstuff,retail_outcomes,retail_serotype,retail_purpose,retail_innoc,retail_lab,retail_risk,farm_species,farm_sources,farm_feedstuff,farm_outcomes,farm_serotype,farm_purpose,farm_innoc,farm_surv,farm_lab,farm_risk,farm_interv,NR_species,NR_sources,NR_feedstuff,NR_outcomes,NR_serotype,NR_purpose,NR_innoc,NR_surv,NR_lab,NR_risk,NR_interv,Comments
10058,"Ellen_Vriezen,Mikalya_Plishka",3,2008,Sweden,Europe,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Livingstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,rapeseed,soybean meal,Fish meal,palm kernel,Meat and bone meal,compound feed,rapeseed meal,cereal,pulses","None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Livingstone",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,
10058,"Ellen_Vriezen,Mikalya_Plishka",3,2008,Sweden,Europe,Diagnostic test evaluation,Yes,Not specified,Not Reported,S. Livingstone,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Livingstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"pelleted feed,rapeseed,soybean meal,Fish meal,palm kernel,Meat and bone meal,compound feed,rapeseed meal,cereal,pulses","None of the above,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Livingstone",Development of validation of methods for detection of Salmonella,Both natural and innoculated evaluated,,"Culture-based,DNA-based",,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Mbandaka,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Agona,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9251,"SarahTotton,Mikalya_Plishka",3,2000,Poland,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Livingstone,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Mbandaka,Tennessee,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Oranienburg,Derby,Braenderup,Livingstone,Virchow,Newlands,Isangi,Kiambu,Nakuru,Irumu,Driffield","Determining serotypes present,Molecular characterization (descriptive)",,,,,,
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Senftenberg,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Tennessee,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Infantis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Anatum,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Agona,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Enteritidis,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
9842,"Ellen_Vriezen,Mikalya_Plishka",3,2001,Slovenia,Europe,Analytical observational,Yes,Not specified,Not Reported,S. Livingstone,"Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Senftenberg,Tennessee,Anatum,Infantis,Agona,Enteritidis,Typhimurium,Hadar,Heidelberg,Havana,Bredeney,Derby,Livingstone,Saintpaul,Newington","Estimating prevalence of Salmonella,Determining serotypes present,Evaluation of linkage to illness in humans",,,,,,"Ranked the most common serotypes, reported the percentage of Salmonella isolates, and the. PRCC between man, poultry and feedstuffs"
4037,"SarahTotton,Ellen_Vriezen",3,2004,Germany,Europe,Molecular studies,Yes,Not specified,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"not reported,Fish meal","Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,
4037,"SarahTotton,Ellen_Vriezen",3,2004,Germany,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Typhimurium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"not reported,Fish meal","Antimicrobial resistance,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium","Determining antimicrobial resistance,Determining serotypes present",,,,,,
4423,"jan.sargeant,SarahTotton",3,2002,Great Britain,Europe,Molecular studies,Yes,Not specified,Not Reported,S. spp,"Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin","Determining antimicrobial resistance,Determining serotypes present",,,,,,"AMR results were given by serotype, not by source of Salmonella so impossible to determine which AMR were for feed sources."
4423,"jan.sargeant,SarahTotton",3,2002,Great Britain,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Typhimurium,"Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Reported number of positive samples without a denominator,Serotype(s) present in food / food environment / food equipment","Not specified / any or all combined / Salmonella spp.,Typhimurium,Dublin","Determining antimicrobial resistance,Determining serotypes present",,,,,,"AMR results were given by serotype, not by source of Salmonella so impossible to determine which AMR were for feed sources."
3848,"Ellen_Vriezen,Mikalya_Plishka",3,2005,Spain,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Senftenberg,Senftenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"soya,Sewage,meat meal","Molecular characteristics,Antimicrobial resistance",Senftenberg,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,
6531,"SarahTotton,Ellen_Vriezen",3,2013,Sweden,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Senftenberg,"Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"rapeseed,palm kernel meal,soya","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",Molecular characterization (descriptive),,,,,,"The other parts of the study did not involve feed, so they aren't relevant."
6531,"SarahTotton,Ellen_Vriezen",3,2013,Sweden,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Infantis,"Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"rapeseed,palm kernel meal,soya","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",Molecular characterization (descriptive),,,,,,"The other parts of the study did not involve feed, so they aren't relevant."
6531,"SarahTotton,Ellen_Vriezen",3,2013,Sweden,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Agona,"Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"rapeseed,palm kernel meal,soya","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",Molecular characterization (descriptive),,,,,,"The other parts of the study did not involve feed, so they aren't relevant."
6531,"SarahTotton,Ellen_Vriezen",3,2013,Sweden,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Livingstone,"Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,"rapeseed,palm kernel meal,soya","Molecular characteristics,Serotype(s) present in food / food environment / food equipment","Senftenberg,Infantis,Agona,Putten,Cubana,Livingstone,Reading,Emek",Molecular characterization (descriptive),,,,,,"The other parts of the study did not involve feed, so they aren't relevant."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Yes,"Feed manufacturing plant,Not specified",Not Reported,S. Tennessee,"Tennessee,Montevideo,Infantis,Agona,Enteritidis",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Yes,"Feed manufacturing plant,Not specified",Not Reported,S. Montevideo,"Tennessee,Montevideo,Infantis,Agona,Enteritidis",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Yes,"Feed manufacturing plant,Not specified",Not Reported,S. Infantis,"Tennessee,Montevideo,Infantis,Agona,Enteritidis",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Yes,"Feed manufacturing plant,Not specified",Not Reported,S. Enteritidis,"Tennessee,Montevideo,Infantis,Agona,Enteritidis",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
9604,Mikalya_Plishka,3,2017,Serbia,Europe,Laboratory study (experimental),Yes,"Feed manufacturing plant,Not specified",Not Reported,S. Agona,"Tennessee,Montevideo,Infantis,Agona,Enteritidis",,,,,,,"Cattle, not further specified,Swine,Poultry, not further specified",feed,"Not reported,Soybean meal","None of the above,Serotype(s) present in food / food environment / food equipment",Tennessee,Evaluation of conditions associated with survival times,,,,surface type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Prevalence / proportion positive,Serotype(s) present in food / food environment / food equipment","Tennessee,Montevideo,Infantis,Agona,Enteritidis","Estimating prevalence of Salmonella,Determining serotypes present",,,,,,"Purpose of the study was biofilm forming ability of S. tennessee. For surface type, biofilm formation on a stainless steel surface is examined."
4475,"SarahTotton,Ellen_Vriezen",3,2002,Belgium,Europe,Molecular studies,Yes,Not specified,Not Reported,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,not reported,"Results were combined among sample types,Serotype(s) present in food / food environment / food equipment",Typhimurium,"Determining antimicrobial resistance,Molecular characterization (descriptive)",,,,,,I can't see any actual results reported specifically for feed.
260,"Ellen_Vriezen,Mikalya_Plishka",3,2020,Denmark,Europe,Laboratory study (experimental),Yes,Not specified,Not Reported,S. Typhimurium,Typhimurium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not reported,feed,insects,"Concentration,Serotype(s) present in food / food environment / food equipment",Typhimurium,Development of validation of methods for detection of Salmonella,Deliberately innoculated,,Other,,,
