Refid,country,continent,st_design,setting1,setting,species,species1,species2,,plant_species,plant_species,trans_species,retail_species,farm_species,NR_species
1736,India,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Not reported,,Not reported,Not reported,
5419,India,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,"Broiler chickens,Laying hens,Poultry, not further specified",,,,
10039,India,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,"Broiler chickens,Laying hens,Poultry, not further specified",,"Broiler chickens,Laying hens,Poultry, not further specified","Broiler chickens,Laying hens,Poultry, not further specified",
11685,India,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Broiler chickens,Broiler chickens,,,
378,Malaysia,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Broiler chickens,Broiler chickens,,,
5125,Malaysia,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Broiler chickens,Broiler chickens,,,
9940,Saudi Arabia,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,,Broiler chickens,Broiler chickens,,,
3631,State of Kuwait,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Not reported,"Ruminants, not further specified,Swine",,,
7382,Turkey,Asia,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,Not reported,"Ruminants, not further specified,Swine",,,
4762,Saudi Arabia,Asia,Single group observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Broiler chickens,,,Not reported,"Ruminants, not further specified,Swine",,,
5062,Japan,Asia,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,Not reported,,,,
9517,Jordan,Asia,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,Not reported,,,,
12185,Bangladesh,Asia,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,Not reported,,,,Not reported
1757,Pakistan,Asia,Single group observational,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,Fish / shellfish,,,,
2008,Norway,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,Fish / shellfish,,,,
1206,Poland,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Ruminants, Swine, Poultry,  Not reported","Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,Fish / shellfish,,,,Fish  / shellfish
2826,Spain,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Cattle, Sheep, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Swine,Poultry, not further specified,Not reported",,,"Cattle, not further specified,Swine,Poultry, not further specified",,,,
5023,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Poultry, Not reported","Poultry, not further specified,Not reported",,,"Cattle, not further specified,Swine,Poultry, not further specified",,,,
9943,United Kingdom,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,"Cattle, not further specified,Swine,Poultry, not further specified",,,,Not reported
1487,Serbia,Europe,Laboratory study (experimental),Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,Turkeys,,,,
4251,Switzerland,Europe,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Broiler chickens,Laying hens",,,Turkeys,,,,Turkeys
2913,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,Laying hens,,,,
9604,Serbia,Europe,Laboratory study (experimental),"Feed manufacturing plant,Not specified",Multiple,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified, Not reported",,,Laying hens,,,,
16446,Belgium,Europe,Analytical observational,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Broiler chickens,Poultry, not further specified,Not reported",,,Laying hens,,,Laying hens,
18279,Belgium,Europe,Analytical observational,Not specified,Not Specified,Poultry,"Swine, Poultry, Not reported","Swine,Broiler chickens,Laying hens,Not reported",,,"Cattle, not further specified",,,,
3075,Great Britain,Europe,Analytical observational,Not specified,Not Specified,Poultry,"Cattle, Sheep, Ruminants, Swine, Poultry, Not reported","Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported",,,"Cattle, not further specified",,,,
9292,Poland,Europe,Analytical observational,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry, Fish, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Fish  / shellfish,Not reported",,,"Cattle, not further specified",,,,
9119,Sweden,Europe,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Cattle, Sheep, Swine, Poultry","Cattle, not further specified,Sheep,Swine,Laying hens,Chicken, not further specified",,,"Cattle, not further specified",,,,
4388,Italy,Europe,Molecular studies,Not specified,Not Specified,Poultry,"Poultry, Not reported","Poultry, not further specified,Not reported",,,"Cattle, not further specified",,,"Cattle, not further specified",
9257,Serbia,Europe,Molecular studies,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Poultry, not further specified,Not reported",,,Broiler chickens,,,,
9121,Greece,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Broiler chickens,Laying hens",,,Broiler chickens,,,,
5292,The Netherlands,Europe,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Broiler chickens,Laying hens,Turkeys",,,Broiler chickens,,,,
9526,The Netherlands,Europe,Clinical / field trial with natural disease exposure,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Laying hens,Chickens, not further specified",,,Broiler chickens,,,,
1888,Great Britain,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,Broiler chickens,,,,
3107,Great Britain,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,Broiler chickens,,,Broiler chickens,
3564,Great Britain,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,,
4300,Great Britain,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,,
3325,Hungary,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,"Ruminants, not further specified,Swine,Broiler chickens,Laying hens,Poultry, not further specified,Chickens, not further specified,Turkeys",,,"Laying hens,Turkeys",
2856,Spain,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Broiler chickens,,,Broiler chickens,
5182,United Kingdom,Europe,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens,Turkeys",,,Broiler chickens,,,,
4178,Denmark,Europe,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Broiler chickens,,,Broiler chickens,
2649,Germany,Europe,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Broiler chickens,,,,
11480,Spain,Europe,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Broiler chickens,,,Broiler chickens,
3692,United Kingdom,Europe,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,Dairy cattle,,,,
2191,Denmark,Europe,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,Dairy cattle,,,Dairy cattle,
4328,Denmark,Europe,Laboratory study (experimental),On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,"Laying hens,Poultry, not further specified",,,,
4365,Belgium,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,"Laying hens,Poultry, not further specified",,,Laying hens,Laying hens
4715,France,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,"Broiler chickens,Laying hens",,,
1611,Kosovo,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,"Broiler chickens,Laying hens",,,
2128,Spain,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,Not reported,,,
6670,The Netherlands,Europe,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,Not reported,,,
56,Great Britain,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Broiler chickens,,,,Laying hens,,,
11707,Austria,Europe,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites),Not specified",Multiple,Poultry,Poultry,"Laying hens,Poultry, not further specified",,,,Laying hens,,,
3449,France,Europe,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,Domestic ducks,,,,Laying hens,,,
9267,Slovenia,Europe,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Broiler chickens,Laying hens",,,,Laying hens,,,
1128,Austria,Europe,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Broiler chickens,Laying hens,Poultry, not further specified",,,,Laying hens,,,
15931,Italy,Europe,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,Fish / shellfish,,,
268,Poland,Europe,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,Fish / shellfish,,,
4858,Spain,Europe,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,Not reported,,,
2356,United Kingdom,Europe,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,Not reported,,,
1752,Denmark,Europe,Molecular studies,Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,Not reported,,,
1491,Poland,Europe,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,Not reported,,,
4961,Germany,Europe,Single group observational,Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,"Poultry, not further specified",,,
5043,"Canada,Australia,United Kingdom",Europe,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified,Not reported",,,,"Poultry, not further specified",,,
1537,Costa Rica,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Swine, Poultry, Not reported","Swine,Poultry, not further specified,Not reported",,,,"Poultry, not further specified",,,
1621,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,"Cattle, Goat, Swine, Poultry","Cattle, not further specified,Goats,Swine,Broiler chickens,Laying hens",,,,Swine,,,
13916,USA,North America,Analytical observational,"Field used to grow animal feeds,On-farm (including farmed fish sites)",Multiple,Poultry,"Cattle, Swine, Poultry","Dairy cattle,Beef cattle,Swine,Poultry, not further specified",,,,Swine,,,
5729,USA,North America,Diagnostic test evaluation,"Animal feed at retail,On-farm (including farmed fish sites)",Multiple,Poultry,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry,Not reported",,,,Turkeys,,,
2494,USA,North America,Analytical observational,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Poultry, not further specified",,,,Turkeys,,Turkeys,
4206,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry","Dairy cattle,Swine,Poultry, not further specified",,"Cattle, not further specified,Goats",,,,,
9297,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Swine, Poultry","Swine,Broiler chickens,Laying hens",,"Cattle, not further specified",,,,,
10379,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified,Turkeys,Other farmed poultry",,Not reported,,,,,
1558,USA,North America,Single group observational,Not specified,Not Specified,Poultry,"Cattle, Sheep, Goats, Swine, Poultry","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified",,Not reported,,,,,
5394,USA,North America,Single group observational,Not specified,Not Specified,Poultry,"Cattle, Sheep, Goat, Swine, Poultry, Not reported","Dairy cattle,Beef cattle,Sheep,Goats,Swine,Poultry, not further specified,Not reported",,Not reported,,,,,
3510,Canada,North America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,Broiler chickens,,Sheep,,,,,
4514,USA,North America,Single group observational,Feed transportation (e.g. feed trucks),Feed Transportation,Poultry,Poultry,"Poultry, not further specified",,Dairy cattle,,,,,
2063,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,"Cattle, not further specified",,,,,
2893,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,Not reported,,,,,
3717,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,Not reported,Not reported,,,"Cattle, not further specified,Swine",
5020,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,"Sheep,Ruminants, not further specified",,,,,Sheep
11803,USA,North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Poultry, not further specified",,Not reported,,,,"Cattle, not further specified",
5308,Canada,North America,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens,Chickens, not further specified,Turkeys",,"Dairy cattle,Beef cattle",,,,"Dairy cattle,Beef cattle",
5232,Canada,North America,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,Beef cattle,,,,"Dairy cattle,Beef cattle,Swine,Poultry, not further specified",
1554,USA,North America,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,"Cattle, not further specified",,,,"Cattle, not further specified",
2806,USA,North America,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,Laying hens
3351,USA,North America,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,Laying hens
4862,USA,North America,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified"
1109,Canada,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,"Poultry, not further specified"
108,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,,,,,Not reported
2871,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Chickens, not further specified",,,,,,,Not reported
4144,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,"Cattle, not further specified,Swine,Broiler chickens,Poultry, not further specified,Not reported"
12891,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,"Swine,Broiler chickens,Laying hens,Not reported"
13486,USA,North America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,"Cattle, not further specified"
2093,USA,North America,Laboratory study (experimental),Animal feed at retail,Retail,Poultry,Poultry,Broiler chickens,,,,,,,"Chicken, not further specified"
5205,USA,North America,Laboratory study (experimental),"Feed manufacturing plant,Not specified",Multiple,Poultry,Poultry,Turkeys,,,,,,,Broiler chickens
4371,USA,North America,Single group observational,"Feed transportation (e.g. feed trucks),On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Turkeys,,,,,,,Not reported
7668,Canada,North America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,Not reported
5129,USA,North America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
1307,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,"Chicken, not further specified"
5102,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
9138,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Broiler chickens,Poultry, not further specified",,,,,,,Dairy cattle
9783,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Swine
10055,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
10424,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
10777,USA,North America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
4734,USA,North America,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
2080,USA,North America,Single group observational,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
1973,"Trinidad and Tobago,Grenada,St. Lucia",North America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,"Chicken, not further specified"
5043,"Canada,Australia,United Kingdom",North America,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified,Not reported",,,,,,,Not reported
419,Australia,Oceania,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Ruminants, Swine, Poultry","Ruminants, not further specified,Swine,Poultry, not further specified",,,,,,,"Poultry, not further specified,Not reported"
2971,Australia,Oceania,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,Broiler chickens,,,,,,,"Swine,Not reported"
2335,New Zealand,Oceania,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
243,Australia,Oceania,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Not reported
354,New Zealand,Oceania,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Broiler chickens
4315,Australia,Oceania,Single group observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Laying hens,,,,,,,Not reported
5043,"Canada,Australia,United Kingdom",Oceania,Molecular studies,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified,Not reported",,,,,,,Fish  / shellfish
9165,Brazil,South America,Analytical observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Poultry, not further specified",,,,,,,Domestic ducks
449,Ecuador,South America,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
1168,Argentina,South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Not reported
3087,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Other farmed poultry,,,,,,,Laying hens
11895,Brazil,South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,"Cattle, not further specified,Sheep,Ruminants, not further specified,Swine,Poultry, not further specified,Not reported"
1826,Colombia,South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Not reported
51,Brazil,South America,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Other farmed poultry",,,,,,,Not reported
456,Brazil,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
572,Ecuador,South America,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Not reported
2275,Argentina,South America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,,,,Fish  / shellfish
2673,Argentina,South America,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,,,,Not reported
510,Brazil,South America,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,"Poultry, not further specified,Not reported"
1691,Brazil,South America,Molecular studies,Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Laying hens
6228,Brazil,South America,Single group observational,Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,"Chicken, not further specified"
1973,"Trinidad and Tobago,Grenada,St. Lucia",South America,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Broiler chickens
9307,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,,Not reported
1488,Not reported,Not Reported,Diagnostic test evaluation,Animal feed at retail,Retail,Poultry,"Cattle, Poultry","Cattle, not further specified,Chickens, not further specified",,,,,,,Not reported
944,Not reported,Not Reported,Laboratory study (experimental),Animal feed at retail,Retail,Poultry,"Cattle, Swine, Poultry","Cattle, not further specified,Swine,Chickens, not further specified",,,,,,,Swine
4654,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Cattle, Swine, Poultry, Not reported","Cattle, not further specified,Swine,Chicken, not further specified,Turkeys,Other farmed poultry,Not reported",,,,,,,Not reported
5375,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Poultry, Fish, Not reported","Poultry, not further specified,Fish  / shellfish,Not reported",,,,,,,"Ruminants, not further specified"
9770,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,"Poultry, Not reported","Poultry, not further specified,Not reported",,,,,,,"Poultry, not further specified"
5801,Not reported,Not Reported,Clinical / field trial with natural disease exposure,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Laying hens,Chickens, not further specified",,,,,,,"Broiler chickens,Laying hens,Poultry, not further specified"
5295,Not reported,Not Reported,Diagnostic test evaluation,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Poultry, not further specified",,,,,,,"Poultry, not further specified"
3346,Not reported,Not Reported,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
4441,Not reported,Not Reported,Molecular studies,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,Broiler chickens,,,,,,,Broiler chickens
4544,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,Broiler chickens,,,,,,,"Poultry, not further specified"
9687,Not reported,Not Reported,Single group observational,Feed manufacturing plant,Feed Manufacturing Plant,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
2955,Not reported,Not Reported,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,Not reported
5159,Not reported,Not Reported,Analytical observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,"Broiler chickens,Laying hens",,,,,,,Not reported
5265,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,,,,"Cattle, not further specified,Not reported"
9553,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,"Chicken, not further specified"
12157,Not reported,Not Reported,Clinical / field trial with natural disease exposure,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Broiler chickens,,,,,,,"Poultry, not further specified"
3715,Not reported,Not Reported,Diagnostic test evaluation,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Laying hens,,,,,,,Not reported
3400,Not reported,Not Reported,Molecular studies,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,Not reported
4274,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,"Cattle, not further specified"
5104,Not reported,Not Reported,Single group observational,On-farm (including farmed fish sites),On-farm,Poultry,Poultry,Turkeys,,,,,,,Not reported
1306,Not reported,Not Reported,Diagnostic test evaluation,Animal feed at retail,Retail,Poultry,Poultry,"Chickens, not further specified",,,,,,,Not reported
5719,Not reported,Not Reported,Analytical observational,"Feed manufacturing plant,Feed transportation (e.g. feed trucks)",Multiple,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
5001,Not reported,Not Reported,Analytical observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
3656,Not reported,Not Reported,Single group observational,"Feed manufacturing plant,On-farm (including farmed fish sites)",Multiple,Poultry,Poultry,Broiler chickens,,,,,,,"Poultry, not further specified"
564,Not reported,Not Reported,Clinical / field trial with natural disease exposure,Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,"Poultry, not further specified"
11054,Not reported,Not Reported,Clinical / field trial with natural disease exposure,Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,,,,"Swine,Not reported"
589,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
1482,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
2441,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
3693,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Not reported
5335,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,Not reported
9811,Not reported,Not Reported,Diagnostic test evaluation,Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,Not reported
1330,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,"Poultry, not further specified"
2725,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,"Poultry, not further specified"
3592,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Poultry, not further specified",,,,,,,Swine
4038,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Laying hens,,,,,,,Laying hens
4506,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,Broiler chickens,,,,,,,Not reported
5123,Not reported,Not Reported,Laboratory study (experimental),Not specified,Not Specified,Poultry,Poultry,"Chicken, not further specified",,,,,,,Swine
